================================================================================
RELATÓRIO MANUAL DE VERIFICAÇÃO DE VENDAS - 31/08/2026 18:33:00
================================================================================
Período Mensal Analisado: 01/08/2026 a 30/08/2026
Data de Ontem (D-1): 30/08/2026
Total de Lojas Analisadas: 207
--------------------------------------------------------------------------------

[MOVIMENTO 1] VERIFICAÇÃO DE ONTEM (D-1):
-> ALERTA: 44 loja(s) NÃO subiram as vendas de ontem:
   - Loja 19507 | FLAMENGO | Consultor: Erick | (Própria)
   - Loja 19602 | DOMINOS CAMPO GRANDE | Consultor: MURILO | (Franquia) -> 11 dia(s) sem subir vendas
   - Loja 19719 | DOMINOS JARDIM CAMBURI (VITORIA 2) | Consultor: MUNIZ | (Franquia) -> 11 dia(s) sem subir vendas
   - Loja 19661 | DOMINOS LONDRINA | Consultor: MUNIZ | (Franquia) -> 7 dia(s) sem subir vendas
   - Loja 19742 | DOMINOS MANAUS | Consultor: MARÍLIA | (Franquia) -> 6 dia(s) sem subir vendas
   - Loja 19863 | VILA CLEMENTINO | Consultor: ERICK APARECIDO | (Franquia) -> 6 dia(s) sem subir vendas
   - Loja 19685 | DOMINOS BONSUCESSO | Consultor: MUNIZ | (Franquia) -> 5 dia(s) sem subir vendas
   - Loja 19693 | DOMINOS JARDIM BOTANICO | Consultor: MURILO | (Franquia) -> 5 dia(s) sem subir vendas
   - Loja 19507 | FLAMENGO | Consultor: Erick | (Própria) -> 4 dia(s) sem subir vendas
   - Loja 19536 | DOMINOS CACHAMBI | Consultor: LEANDRO | (Franquia) -> 4 dia(s) sem subir vendas
   - Loja 19618 | DOMINOS MEIER | Consultor: LEANDRO | (Franquia) -> 4 dia(s) sem subir vendas
   - Loja 19962 | DOMINOS ARARUAMA | Consultor: MUNIZ | (Franquia) -> 4 dia(s) sem subir vendas
   - Loja 19515 | CATETE | Consultor: Erick | (Própria) -> 3 dia(s) sem subir vendas
   - Loja 19579 | DOMINOS VILA ANDRADE | Consultor: PRISCILA | (Franquia) -> 3 dia(s) sem subir vendas
   - Loja 19513 | DOMINOS ICARAI | Consultor: ALAN | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19521 | DOMINOS CENTRO | Consultor: ALAN | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19546 | DOMINOS JUVEVE | Consultor: ALAN | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19551 | DOMINOS SUDOESTE | Consultor: MURILO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19553 | DOMINOS GUARA | Consultor: MURILO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19565 | DOMINOS GRACAS | Consultor: FERNANDO NETO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19580 | DOMINOS VITORIA | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19581 | DOMINOS PRAIA DA COSTA | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19596 | DOMINOS NOVA IGUACU | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19601 | DOMINOS BOA VIAGEM | Consultor: FERNANDO NETO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19615 | DOMINOS JUIZ DE FORA | Consultor: LEANDRO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19649 | DOMINOS SETUBAL | Consultor: FERNANDO NETO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19657 | DOMINOS CABO FRIO | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19694 | DOMINOS BARRA MANSA | Consultor: ALAN | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19706 | DOMINOS BESSA | Consultor: FERNANDO NETO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19730 | DOMINOS CUIABA | Consultor: MURILO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19832 | DOMINOS RIBEIRÃO PRETO | Consultor: ERICK APARECIDO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19872 | DOMINOS GUARAPARI CENTRO | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19890 | INTERLAGOS | Consultor: PRISCILA | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19910 | DOMINOS LUIZ EDUARDO MAGALHAES CENTRO | Consultor: FERNANDO NETO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19912 | DOMINOS UBERABA | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19927 | DOMINOS GUARAPUAVA | Consultor: ALAN | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19930 | DOMINOS SP BOTUCATU CENTRO | Consultor: ERICK APARECIDO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19931 | DOMINOS STELLA MARIS | Consultor: FERNANDO NETO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19943 | DOMINOS ITUIUTABA | Consultor: MUNIZ | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19951 | DOMINOS IPATINGA - CASA | Consultor: LEANDRO | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19954 | DOMINOS PARNAÍBA | Consultor: MARÍLIA | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19959 | DOMINOS ICOARACI BELEM | Consultor: MARÍLIA | (Franquia) -> 1 dia(s) sem subir vendas
   - Loja 19961 | DOMINOS CORONEL FABRICIANO | Consultor: LEANDRO | (Franquia) -> 1 dia(s) sem subir vendas

================================================================================
